389090.314,2266556.083
389160.989,2266464.176
389202.489,2266317.631
389265.195,2266287.866
389364.811,2266283.213
389454.505,2266331.919
389649.371,2266283.213
389841.712,2266169.759
389870.076,2266065.908
389955.166,2265999.578
390040.257,2265886.124
390040.257,2265801.034
390068.62,2265744.307
390275.187,2265742.156
390437.386,2265519.283
390437.48,2265454.719
390465.709,2265391.219
390579.644,2265229.124
390522.436,2265035.22
391301.146,2264658.754
391661.106,2264611.833
391713.702,2264638.131
391897.982,2264524.677
392110.791,2264581.593
392110.791,2264694.858
392195.881,2264779.948
392366.062,2264865.039
392577.963,2264893.402
392850.484,2264808.312
392961.695,2264893.402
393075.149,2264893.402
393165.339,2264808.312
393273.693,2264808.312
393358.784,2264836.675
393519.563,2264817.753
393598.432,2264723.222
393630.543,2264723.222
393699.146,2264836.675
393840.963,2264865.039
394185.487,2264850.655
394341.761,2264866.03
394408.233,2264921.766
394662.884,2264978.493
395125.932,2264963.048
395205.677,2265035.22
395514.408,2265091.947
395580.99,2265094.885
395656.226,2265063.583
395745.032,2265063.583
395798.043,2265110.76
395799.694,2265184.599
395712.953,2265262.128
395599.499,2265318.855
395656.226,2265489.036
395816.469,2265489.036
396110.041,2265205.401
396279.664,2265283.088
396435.88,2265153.314
396581.117,2265148.674
396696.579,2265205.401
396784.846,2265205.401
396875.855,2265091.947
397090.299,2265144.041
397099.701,2265262.128
397226.073,2265327.495
397386.398,2265356.823
397414.762,2265462.657
397599.765,2265574.126
397953.668,2265602.489
398095.485,2265715.943
398180.575,2265659.216
398245.233,2265700.889
398284.169,2265813.369
398350.756,2265857.761
398492.574,2265829.397
398730.775,2265704.65
398776.209,2265659.216
399036.455,2265659.216
399142.289,2265630.853
399346.086,2265687.58
399695.269,2265545.762
399768.93,2265545.762
399822.269,2265630.853
400080.929,2265574.126
400272.062,2265630.853
400307.837,2265690.199
400279.473,2265761.637
400364.563,2265864.824
400392.927,2265942.851
400478.017,2265971.215
400534.744,2266145.283
400648.198,2266169.759
400563.108,2266425.03
400506.381,2266453.394
400506.381,2266481.757
400552.521,2266538.484
400616.021,2266538.484
400563.108,2266651.938
400563.108,2266765.392
400619.835,2266907.21
400706.183,2266936.831
400733.289,2267105.754
400790.016,2267214.202
400773.903,2267341.049
400818.379,2267417.752
400875.313,2267389.389
401026.126,2267446.116
401073.65,2267474.479
401130.377,2267544.932
401130.377,2267616.37
401158.741,2267673.023
401385.649,2267730.141
401423.313,2267776.946
401499.103,2267786.477
401555.83,2267758.114
401697.647,2267758.114
401726.01,2267843.204
401782.737,2267843.204
401850.769,2267735.651
402497.667,2268050.931
402718.732,2268240.293
402908.717,2268303.651
403418.637,2268769.113
403497.958,2268880.981
403595.443,2268948.642
403885.135,2269076.518
404189.765,2269180.095
404356.774,2269308.526
404675.549,2269635.213
405080.678,2269933.438
405129.628,2270594.462
405214.719,2271417.003
405016.174,2271417.003
404931.084,2271445.366
404822.116,2271680.903
405275.076,2272372.713
406072.981,2272865.773
406679.391,2272995.807
406974.487,2273163.04
407264.319,2273294.843
407553.41,2273600.991
407653.978,2273630.361
407653.978,2273686.081
408306.338,2274180.034
408306.338,2274310.078
408363.065,2274366.805
408448.155,2274707.167
408448.155,2274820.621
408504.882,2274905.711
408731.79,2274905.711
408816.881,2274877.347
408873.608,2274763.894
409015.425,2274593.713
409100.515,2274536.986
409100.515,2274345.399
409157.242,2274281.714
409213.969,2274139.897
409270.696,2274083.17
409299.06,2274026.443
409497.604,2274026.443
409525.968,2274139.897
409654.867,2274224.987
409696.148,2274281.714
409696.148,2274395.168
409724.512,2274480.259
409696.148,2274536.986
409667.785,2274536.986
409667.785,2274622.076
409999.964,2274603.373
410008.147,2274707.167
410320.145,2274622.076
410461.962,2274735.53
410575.416,2274990.801
410575.416,2275104.255
411325.036,2275547.887
411889.139,2275926.798
412292.732,2276232.89
413014.676,2276701.566
413298.31,2276919.518
413633.738,2277140.317
413800.874,2277379.516
414019.424,2278043.96
414234.305,2278252.602
414307.284,2278366.056
415312.118,2278519.719
